Area,Area Id,Variable Name,Variable Id,Year,Value
Democratic People's Republic of Korea,116,Surface water: total external renewable,4176,1982,10.15
Democratic Republic of the Congo,250,Surface water: inflow secured through treaties,4162,1982,0
Democratic Republic of the Congo,250,Surface water: total flow of border rivers,4165,1982,0
Democratic Republic of the Congo,250,Surface water: accounted flow of border rivers,4168,1982,0
Democratic Republic of the Congo,250,Surface water: accounted inflow,4164,1982,383
Democratic Republic of the Congo,250,Surface water: leaving the country to other countries (total),4171,1982,3.301
Democratic Republic of the Congo,250,Surface water: outflow to other countries not submitted to treaties,4172,1982,3.301
Democratic Republic of the Congo,250,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Democratic Republic of the Congo,250,Surface water: outflow to other countries secured through treaties,4174,1982,0
Democratic Republic of the Congo,250,Surface water: total external renewable,4176,1982,383
Denmark,54,Surface water: inflow secured through treaties,4162,1982,0
Denmark,54,Surface water: total flow of border rivers,4165,1982,0
Denmark,54,Surface water: accounted flow of border rivers,4168,1982,0
Denmark,54,Surface water: accounted inflow,4164,1982,0
Denmark,54,Surface water: leaving the country to other countries (total),4171,1982,0
Denmark,54,Surface water: outflow to other countries not submitted to treaties,4172,1982,0
Denmark,54,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Denmark,54,Surface water: outflow to other countries secured through treaties,4174,1982,0
Denmark,54,Surface water: total external renewable,4176,1982,0
Djibouti,72,Surface water: inflow secured through treaties,4162,1982,0
Djibouti,72,Surface water: total flow of border rivers,4165,1982,0
Djibouti,72,Surface water: accounted flow of border rivers,4168,1982,0
Djibouti,72,Surface water: accounted inflow,4164,1982,0
Djibouti,72,Surface water: leaving the country to other countries (total),4171,1982,0
Djibouti,72,Surface water: outflow to other countries not submitted to treaties,4172,1982,0
Djibouti,72,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Djibouti,72,Surface water: outflow to other countries secured through treaties,4174,1982,0
Djibouti,72,Surface water: total external renewable,4176,1982,0
Dominica,55,Surface water: inflow secured through treaties,4162,1982,0
Dominica,55,Surface water: total flow of border rivers,4165,1982,0
Dominica,55,Surface water: accounted flow of border rivers,4168,1982,0
Dominica,55,Surface water: accounted inflow,4164,1982,0
Dominica,55,Surface water: leaving the country to other countries (total),4171,1982,0
Dominica,55,Surface water: outflow to other countries not submitted to treaties,4172,1982,0
Dominica,55,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Dominica,55,Surface water: outflow to other countries secured through treaties,4174,1982,0
Dominica,55,Surface water: total external renewable,4176,1982,0
Dominican Republic,56,Surface water: inflow secured through treaties,4162,1982,0
Dominican Republic,56,Surface water: total flow of border rivers,4165,1982,0
Dominican Republic,56,Surface water: accounted flow of border rivers,4168,1982,0
Dominican Republic,56,Surface water: accounted inflow,4164,1982,0
Dominican Republic,56,Surface water: leaving the country to other countries (total),4171,1982,1.015
Dominican Republic,56,Surface water: outflow to other countries not submitted to treaties,4172,1982,1.015
Dominican Republic,56,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Dominican Republic,56,Surface water: outflow to other countries secured through treaties,4174,1982,0
Dominican Republic,56,Surface water: total external renewable,4176,1982,0
Ecuador,58,Surface water: inflow secured through treaties,4162,1982,0
Ecuador,58,Surface water: total flow of border rivers,4165,1982,0
Ecuador,58,Surface water: accounted flow of border rivers,4168,1982,0
Ecuador,58,Surface water: accounted inflow,4164,1982,0
